mac,hostname
06:b9:af:85:e3:59,BirT029
C0:BF:BE:5E:7E:E0,BS250001
C0:BF:BE:5E:7F:6C,BS250002
C0:BF:BE:5E:C9:F6,BS250003
C0:BF:BE:5E:7D:02,BS250004
C0:BF:BE:5E:7E:94,BS250005
C0:BF:BE:5D:65:14,BS250006
C0:BF:BE:5E:CE:A6,BS250007
C0:BF:BE:5E:7E:FC,BS250008
C0:BF:BE:5E:7E:5C,BS250009
C0:BF:BE:5E:CF:3A,BS250010
C0:BF:BE:5E:7F:78,BS250011
60:FF:9E:14:CC:F0,BS250012
C0:BF:BE:5E:7E:4A,BS250013
C0:BF:BE:5E:CF:20,BS250014
C0:BF:BE:5E:7E:52,BS250015
C0:BF:BE:5E:7E:CC,BS250016
C0:BF:BE:5E:7F:00,BS250017
C0:BF:BE:5E:7E:7C,BS250018
C0:BF:BE:5E:7F:2C,BS250019
C0:BF:BE:5E:7E:3E,BS250020
C0:BF:BE:5D:65:28,BS250021
C0:BF:BE:5E:CE:FE,BS250022
C0:BF:BE:5E:CE:44,BS250023
C0:BF:BE:5E:CC:E2,BS250024
C0:BF:BE:5E:CE:92,BS250025
